gdp,exr,infr
12583478,86.00,10.2
12583478,86.00,9.8
12583478,86.97,9.3
12934531,90.00,8.3
12934531,94.88,7.6
12934531,94.88,7.2
14304438,94.88,7.2
14304438,94.88,7.2
14304438,94.88,7.2
14789817,94.90,7.5
14789817,96.45,7.7
14789817,97.60,7.9
14501448,98.78,8.3
14501448,99.91,8.8
14501448,100.93,9.4
15054961,100.38,9.9
15054961,101.15,10.5
15054961,101.83,10.6
16163642,105.33,10.2
16163642,102.88,9.6
16163642,102.36,9.2
17260346,102.48,8.5
17260346,102.52,7.6
17260346,106.71,6.6
16450360,110.50,5.2
16450360,110.71,3.9
16450360,110.66,2.7
17743633,113.70,1.8
17743633,113.57,1.1
17743633,112.48,0.9
18521601,111.85,1.2
18521601,111.70,2.2
18521601,111.60,3.3
18998342,111.60,4.5
18998342,111.99,5.8
18998342,112.99,6.9
18295632,113.96,8.6
18295632,114.28,10.3
18295632,116.04,11.9
19931016,116.13,13.9
19931016,116.55,15.7
19931016,118.49,16.6
20464396,123.72,17.7
20464396,125.75,18.1
20464396,126.45,18.4
21401520,126.56,18.6
21401520,126.83,18.7
21401520,126.88,18.9
20169778,127.07,18.9
20169778,127.32,18.9
20169778,127.16,18.8
21734830,127.37,17.9
21734830,127.67,16.8
21734830,127.83,16.4
22933144,127.77,16.2
22933144,127.90,15.6
22933144,128.58,14.8
24205863,129.79,13.6
24205863,136.61,13.2
24205863,137.22,12.9
21041701,136.08,12.3
21041701,135.16,11.4
21041701,134.43,10.5
22859153,133.51,10.1
22859153,133.01,10
22859153,132.75,10.1
24313637,132.80,10
24313637,132.83,10
24313637,132.84,10.7
25930469,132.86,12.3
25930469,132.87,13
25930469,132.86,14
22235315,132.86,15
22235315,132.85,16.5
22235315,132.85,17.8
23547467,132.85,18.5
23547467,132.82,19.4
23547467,132.87,19.4
26537651,132.87,19.1
26537651,133.23,19.1
26537651,130.81,18.2
29169059,130.84,17.1
29169059,130.63,16.1
29169059,130.29,15
26028356,130.29,14
26028356,129.59,12.9
26028356,128.70,12.5
27030250,128.47,12.6
27030250,128.45,12.5
27030250,128.45,12.9
29377674,128.38,14.2
29377674,128.33,15.5
29377674,128.29,16.8
31275354,128.28,17.4
31275354,128.29,17.8
31275354,128.29,17.9
28438604,128.28,17.9
28438604,128.27,17.8
28438604,128.15,17.4
30699567,127.98,16.9
30699567,127.56,16.4
30699567,127.41,15.5
33368049,127.19,13.5
33368049,126.68,11.4
33368049,125.88,10
35230608,124.28,9
35230608,120.12,8.5
35230608,118.21,8.2
43179.92,117.98,8
43437.43,118.21,7.7
43694.93,117.92,7.2
43952.44,117.87,6.5
44209.95,117.83,6
44467.46,117.81,5.9
44724.97,117.77,6
44982.48,117.74,6.1
45239.99,117.73,5.9
45497.5,117.72,5.7
45755.01,117.74,5.5
46012.52,126.48,5.4
46332.81,145.78,5.5
46653.11,147.14,5.5
46973.41,147.72,5.8
47293.71,147.23,6.1
47614.01,147.84,6.5
47934.31,148.20,7
48254.61,148.59,7.8
48574.9,151.86,8.5
48895.2,152.30,9.2
49215.5,149.36,10.1
49535.8,150.85,10.9
49856.1,149.69,11.6
50252.45,149.78,12
50648.79,150.22,12.6
51045.14,149.83,13.1
51441.49,149.89,13.5
51837.83,150.31,13.8
52234.18,150.19,13.7
52630.53,150.10,13.4
53026.88,150.27,13.3
53423.22,151.03,13.1
53819.57,151.25,12.8
54215.92,150.22,12.6
54612.26,150.48,12.5
54853.83,151.55,12.6
55095.39,151.94,12.7
55336.96,152.51,12.8
55578.52,153.97,12.9
55820.09,154.80,12.9
56061.65,154.50,13.1
56303.22,151.86,13.3
56544.78,152.72,13.5
56786.35,155.26,13.8
57027.91,153.26,13.9
57269.48,155.77,13.9
57511.04,158.21,13.7
57712.61,158.39,13.5
57914.18,157.87,13.2
58115.75,157.59,13
58317.33,157.33,12.7
58518.9,157.28,12.6
58720.47,157.44,12.3
58922.04,157.43,12
59123.61,157.38,11.6
59325.18,157.34,11.4
59526.75,157.32,11.1
59728.32,157.31,11
59929.89,157.32,10.8
60203.96,157.30,10.9
60478.03,157.30,11
60752.1,157.31,10.9
61026.17,157.31,11.1
61300.24,157.30,11.1
61574.31,157.31,11.3
61848.38,157.32,11.6
62122.45,157.31,11.8
62396.51,157.32,11.9
62670.58,157.42,11.9
62944.65,157.27,12.1
63218.72,157.27,12.2
63546.56,157.29,11.9
63874.4,157.31,11.7
64202.24,157.30,11.4
64530.08,157.29,11.1
64857.92,157.29,10.8
65185.75,157.29,10.4
65513.59,157.29,10
65841.43,157.29,9.8
66169.27,157.30,9.5
66497.11,157.31,9.2
66824.95,160.00,8.8
67152.79,169.68,8.5
67308.71,169.68,8.4
67464.64,179.74,8.3
67620.57,197.07,8.2
67776.5,197.00,8.1
67932.43,197.00,8
68088.36,196.92,8
68244.29,196.97,8
68400.22,197.00,8
68556.14,197.00,8
68712.07,196.99,8
68868,196.99,8
69023.93,196.99,8
68932.87,197.00,8.1
68841.81,197.00,8.1
68750.76,197.00,8.2
68659.7,197.00,8.2
68568.64,197.00,8.3
68477.58,231.76,8.4
68386.53,294.57,8.5
68295.47,309.73,8.6
68204.41,305.23,8.7
68113.35,305.21,8.8
68022.29,305.18,8.9
67931.24,305.22,9
67977.88,305.20,9.1
68024.53,305.31,9.4
68071.17,306.40,9.8
68117.82,306.05,10.2
68164.46,305.54,10.7
68211.11,305.72,11.4
68257.75,305.86,12
68304.4,305.67,12.7
68351.04,305.89,13.5
68397.69,305.62,14.2
68444.33,305.90,15
68490.98,306.31,15.7
73428.13,305.78,16.4
78365.29,305.90,17
83302.44,305.74,17.3
88239.6,305.61,17.6
93176.75,305.83,17.6
98113.9,305.87,17.6
103051.1,305.81,17.5
107988.2,306.06,17.3
112925.4,306.27,17.2
117862.5,306.51,17
122799.7,306.71,16.8
127736.8,306.92,16.5
129109.6,306.85,16.2
130482.4,306.77,15.9
131855.2,306.92,15.6
133228,306.96,15.2
134600.9,306.95,14.8
135973.7,306.95,14.4
137346.5,306.94,13.9
138719.3,306.93,13.5
140092.1,306.92,13.2
141464.9,306.96,12.8
142837.7,306.95,12.4
142151.3,306.95,12.1
